Player,Yrs,G,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,Date,City,State
Ime Udoka,7,316,1635,926,308,208,54,0.417,0.356,0.705,"Aug 09, 1977",Portland,Oregon
Chico Vaughn,8,491,5822,1224,1024,,,0.392,0.301,0.738,"Feb 19, 1940",Portland,Oregon
Richard Washington,6,351,3456,2204,409,224,277,0.453,0.25,0.711,"Jul 15, 1955",Portland,Oregon
Kyle Wiltjer,1,6,10,5,0,0,0,0.5,0.5,0.5,"Oct 20, 1992",Portland,Oregon
John Abramovic,2,56,533,,37,,,0.237,,0.686,"Feb 9, 1919",Etna,Pennsylvania
Jerome Allen,2,117,336,123,201,52,9,0.35,0.317,0.63,"Jan 28, 1973",Philadelphia,Pennsylvania
Lavoy Allen,6,353,1712,1692,353,109,198,0.467,0.133,0.68,"Feb 04, 1989",Morrisville,Pennsylvania
Michael Anderson,1,36,204,89,153,44,3,0.417,0.143,0.695,"Mar 23, 1966",Philadelphia,Pennsylvania
Paul Arizin*,10,713,16266,6129,1665,,,0.421,,0.81,"Apr 9, 1928",Philadelphia,Pennsylvania
Don Asmonga,1,7,5,1,5,,,0.133,,1,"Feb 15, 1928",West Mifflin,Pennsylvania
Jim Baechtold,5,321,3123,1009,685,,,0.388,,0.783,"Dec 9, 1927",McKeesport,Pennsylvania
Jimmie Baker,1,5,6,14,4,0,3,0.2,,0,"Dec 25, 1953",Philadelphia,Pennsylvania
Gene Banks,6,468,5305,2718,1335,436,101,0.539,0.043,0.73,"May 15, 1959",Philadelphia,Pennsylvania
Mike Bantom,9,706,8568,4517,1623,630,478,0.468,0.2,0.692,"Dec 3, 1951",Philadelphia,Pennsylvania
Jerry Baskerville,1,21,26,28,3,6,5,0.308,,0.625,"Nov 10, 1951",Philadelphia,Pennsylvania
Johnny Baum,5,244,1498,666,141,36,16,0.48,0,0.758,"Jun 17, 1946",Philadelphia,Pennsylvania
Ernie Beck,7,371,2325,1191,669,,,0.383,,0.762,"Dec 11, 1931",Philadelphia,Pennsylvania
Mel Bennett,5,204,1402,952,204,129,98,0.382,0,0.609,"Jan 4, 1955",Pittsburgh,Pennsylvania
Del Beshore,2,69,244,63,139,58,5,0.352,0.385,0.667,"Nov 29, 1956",Mechanicsburg,Pennsylvania
Nate Blackwell,1,10,37,6,18,3,0,0.366,0.182,0.833,"Feb 15, 1965",Philadelphia,Pennsylvania
DeJuan Blair,7,424,2865,2153,349,316,127,0.524,0,0.608,"Apr 22, 1989",Pittsburgh,Pennsylvania
Nelson Bobb,4,227,1052,405,488,,,0.35,,0.612,"Feb 25, 1924",Philadelphia,Pennsylvania
Sam Bowie,10,511,5564,3845,1075,263,909,0.452,0.302,0.748,"Mar 17, 1961",Lebanon,Pennsylvania
Jim Brogan,2,121,619,182,222,75,22,0.444,0.267,0.748,"Feb 24, 1958",Ardmore,Pennsylvania
Michael Brooks,6,319,4086,2001,818,387,124,0.486,0.152,0.714,"Aug 17, 1958",Philadelphia,Pennsylvania
Myron Brown,1,4,9,3,6,1,0,0.667,0.333,,"Nov 3, 1969",McKees Rocks,Pennsylvania
Joe Bryant,8,606,5252,2441,1049,519,201,0.45,0.2,0.743,"Oct 19, 1954",Philadelphia,Pennsylvania
Kobe Bryant,20,1346,33643,7047,6306,1944,640,0.447,0.329,0.837,"Aug 23, 1978",Philadelphia,Pennsylvania
Rasual Butler,13,809,6092,1934,658,288,408,0.403,0.362,0.747,"May 23, 1979",Philadelphia,Pennsylvania
Larry Cannon,4,213,3545,620,772,7,4,0.411,0.257,0.76,"Apr 12, 1947",Philadelphia,Pennsylvania
Frank Card,5,306,2894,1721,372,,,0.461,0.176,0.632,"Dec 28, 1944",Philadelphia,Pennsylvania
Matt Carroll,10,459,3013,863,313,223,60,0.413,0.384,0.841,"Aug 28, 1980",Pittsburgh,Pennsylvania
Fred Carter,8,611,9271,2381,2122,371,65,0.425,,0.693,"Feb 14, 1945",Philadelphia,Pennsylvania
Ron Carter,2,59,176,64,34,19,10,0.429,,0.623,"Aug 31, 1956",Pittsburgh,Pennsylvania
Wilt Chamberlain*,14,1045,31419,23924,4643,,,0.54,,0.511,"Aug 21, 1936",Philadelphia,Pennsylvania
Len Chappell,10,670,6227,3431,503,,,0.452,,0.697,"Jan 31, 1941",Portage,Pennsylvania
Dionte Christmas,1,31,71,38,8,2,3,0.355,0.29,0.75,"Sep 15, 1986",Philadelphia,Pennsylvania
Mardy Collins,4,189,742,336,327,110,22,0.38,0.299,0.599,"Aug 04, 1984",Philadelphia,Pennsylvania
Sean Colson,1,13,15,6,10,1,0,0.25,0.2,0.5,"Jul 01, 1975",Philadelphia,Pennsylvania
Dallas Comegys,2,142,856,452,95,78,133,0.457,0,0.682,"Aug 17, 1964",Philadelphia,Pennsylvania
Chubby Cox,1,7,29,10,6,0,1,0.351,0,0.5,"Dec 29, 1955",Philadelphia,Pennsylvania
Pat Cummings,12,683,6529,3825,807,360,171,0.497,0,0.737,"Jul 11, 1956",Johnstown,Pennsylvania
Bob Davies*,7,462,6594,980,2250,,,0.378,,0.759,"Jan 15, 1920",Harrisburg,Pennsylvania
Brandon Davies,2,78,286,192,58,42,15,0.411,0.227,0.644,"Jul 25, 1991",Philadelphia,Pennsylvania
Brad Davis,15,961,7866,1738,4709,756,146,0.51,0.321,0.828,"Dec 17, 1955",Monaca,Pennsylvania
Emanual Davis,6,226,1100,440,396,167,29,0.394,0.352,0.787,"Aug 27, 1968",Philadelphia,Pennsylvania
Mickey Davis,6,309,1542,841,304,76,16,0.455,0,0.835,"Jun 16, 1950",Rochester,Pennsylvania
George Dempsey,5,315,1574,1125,711,,,0.407,,0.661,"Jul 19, 1929",Philadelphia,Pennsylvania
Charles Dudley,6,361,1908,1089,1230,284,13,0.497,,0.672,"Mar 5, 1950",Harrisburg,Pennsylvania
Ken Durrett,4,120,484,233,54,22,13,0.434,,0.637,"Dec 8, 1948",Pittsburgh,Pennsylvania
Wayne Ellington,8,464,3363,981,512,225,31,0.412,0.373,0.847,"Oct 29, 1987",Wynnewood,Pennsylvania
Tyreke Evans,8,436,7237,2127,2301,584,178,0.446,0.287,0.757,"Sep 19, 1989",Chester,Pennsylvania
Dave Feitl,5,275,1192,815,125,46,46,0.433,0,0.751,"Jun 8, 1962",Butler,Pennsylvania
Greg Fillmore,2,49,118,108,20,,,0.403,,0.467,"Mar 7, 1947",Philadelphia,Pennsylvania
Danny Fortson,10,440,3615,3184,301,182,94,0.472,0.167,0.785,"Mar 27, 1976",Philadelphia,Pennsylvania
Calvin Fowler,1,78,343,170,126,,,0.455,0.412,0.622,"Feb 11, 1940",Pittsburgh,Pennsylvania
Mike Gale,11,842,6203,2445,3146,1349,331,0.464,0.187,0.781,"Jul 18, 1950",Philadelphia,Pennsylvania
Jack George,8,506,5153,2129,2169,,,0.364,,0.704,"Nov 13, 1928",Swissvale,Pennsylvania
Gus Gerard,7,446,3765,1811,560,283,318,0.438,0.273,0.696,"Jul 27, 1953",Uniontown,Pennsylvania
Gorham Getchell,1,16,5,,0,,,0,,1,"Aug 14, 1920",Abington,Pennsylvania
Armen Gilliam,13,929,12700,6401,1088,676,607,0.489,0,0.776,"May 28, 1964",Pittsburgh,Pennsylvania
George Glamack,1,11,102,,19,,,0.248,,0.764,"Jun 7, 1918",Johnstown,Pennsylvania
Tom Gola*,10,698,7871,5617,2962,,,0.431,,0.76,"Jan 13, 1933",Philadelphia,Pennsylvania
Steve Goodrich,2,21,24,26,11,3,3,0.321,0.333,0.556,"Mar 18, 1976",Philadelphia,Pennsylvania
Paul Graham,3,179,1499,433,352,186,32,0.448,0.339,0.739,"Nov 28, 1967",Philadelphia,Pennsylvania
Paul Grant,2,16,29,18,3,2,1,0.448,,0.375,"Jan 06, 1974",Pittsburgh,Pennsylvania
Lynn Greer,1,41,167,27,53,17,1,0.433,0.346,0.844,"Oct 23, 1979",Philadelphia,Pennsylvania
Norm Grekin,1,1,0,0,0,,,,,,"Jun 22, 1930",Philadelphia,Pennsylvania
