Player,Yrs,G,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,Date,City,State
Randolph Keys,5,241,1262,551,192,135,45,0.425,0.272,0.721,"Apr 19, 1966",Collins,Mississippi
Sam Lacey,13,1002,10303,9687,3754,999,1160,0.441,0.188,0.738,"Mar 28, 1948",Indianaola,Mississippi
Wendell Ladner,5,300,3474,2481,621,140,7,0.386,0.252,0.712,"Oct 6, 1948",Necaise Crossing,Mississippi
Ronnie Lester,6,250,1816,473,1003,187,32,0.469,0.227,0.788,"Jan 1, 1959",Canton,Mississippi
Danny Manning,15,883,12367,4615,2063,1000,752,0.511,0.206,0.729,"May 17, 1966",Hattiesburg,Mississippi
Ed Manning,9,604,3541,2717,494,137,27,0.448,0.125,0.764,"Jan 2, 1944",Summit,Mississippi
Antonio McDyess,15,1015,12227,7638,1300,782,1102,0.497,0.117,0.67,"Sep 07, 1974",Quitman,Mississippi
Derrick McKey,15,937,10266,4387,2254,1072,611,0.486,0.316,0.779,"Oct 10, 1966",Meridian,Mississippi
Cliff Meely,5,318,2658,1703,398,88,106,0.417,,0.675,"Jul 10, 1947",Rosedale,Mississippi
Dewitt Menyard,1,71,643,551,84,,,0.37,,0.665,"May 24, 1944",Columbus,Mississippi
Leland Mitchell,1,78,321,182,73,,,0.349,0.276,0.659,"Feb 22, 1941",Kiln,Mississippi
Dyron Nix,1,20,39,26,5,3,1,0.359,,0.688,"Feb 11, 1967",Meridian,Mississippi
Audie Norris,3,187,819,576,147,85,69,0.511,0,0.662,"Dec 18, 1960",Jackson,Mississippi
Sylvester Norris,1,17,40,43,6,3,12,0.419,,0.667,"Feb 18, 1957",Jackson,Mississippi
Willie Norwood,7,430,3209,1597,364,218,22,0.488,,0.697,"Aug 8, 1947",Carrolton,Mississippi
Johnny O'Bryant,2,100,300,240,49,23,12,0.395,1,0.582,"Jun 01, 1993",Cleveland,Mississippi
Travis Outlaw,11,622,5273,1974,514,331,381,0.423,0.337,0.744,"Sep 18, 1984",Starkville,Mississippi
Kenny Payne,4,144,508,170,61,38,22,0.41,0.293,0.859,"Nov 25, 1966",Laurel,Mississippi
Michael Phelps,3,132,470,141,138,71,3,0.416,0.091,0.639,"Oct 3, 1961",Vicksburg,Mississippi
Bob Quick,4,142,848,395,94,,,0.454,,0.746,"Mar 5, 1946",Thornton,Mississippi
Mike Ratliff,2,60,241,194,38,0,0,0.417,,0.536,"Jun 7, 1951",New Albany,Mississippi
Justin Reed,3,136,472,186,68,31,19,0.404,0,0.752,"Jan 16, 1982",Jackson,Mississippi
James Robinson,7,381,2882,660,715,205,71,0.394,0.348,0.666,"Aug 31, 1970",Jackson,Mississippi
Gene Short,1,34,84,48,10,8,3,0.352,,0.625,"Aug 7, 1953",Macon,Mississippi
Purvis Short,12,842,14607,3625,2123,878,178,0.474,0.282,0.824,"Jul 2, 1957",Hattiesburg,Mississippi
John Smith,2,147,874,1213,116,,,0.387,0,0.558,"May 24, 1944",Columbus,Mississippi
Larry Smith,13,883,5904,8125,941,699,457,0.531,0,0.531,"Jan 18, 1958",Rolling Fork,Mississippi
John Stroud,1,9,25,13,9,1,0,0.324,,0.75,"Oct 29, 1957",New Albany,Mississippi
Sedric Toney,5,112,409,98,235,48,1,0.365,0.341,0.781,"Apr 13, 1962",Columbus,Mississippi
Chet Walker*,13,1032,18831,7314,2126,117,10,0.47,,0.796,"Feb 22, 1940",Bethlehem,Mississippi
Henry Ward,2,88,413,173,41,22,15,0.444,0.261,0.705,"Jan 30, 1952",Jackson,Mississippi
Jim Ware,3,64,150,153,14,,,0.293,,0.642,"May 2, 1944",Natchez,Mississippi
Cornell Warner,7,445,2860,3353,494,132,144,0.452,,0.672,"Aug 12, 1948",Jackson,Mississippi
Eric Washington,2,104,716,216,108,78,43,0.402,0.346,0.757,"Mar 23, 1974",Pearl,Mississippi
Slick Watts,6,437,3901,1398,2678,961,111,0.413,,0.597,"Jul 22, 1951",Rolling Ford,Mississippi
Clarence Weatherspoon,13,915,10483,6846,1346,880,794,0.471,0.196,0.743,"Sep 08, 1970",Crawford,Mississippi
Nick Weatherspoon,7,453,4086,2232,418,344,145,0.455,,0.713,"Jul 20, 1950",Greenwood,Mississippi
Dwayne Whitfield,1,8,40,25,2,3,2,0.433,,0.636,"Aug 21, 1972",Aberdeen,Mississippi
Mo Williams,13,818,10759,2264,3990,721,121,0.434,0.378,0.871,"Dec 19, 1982",Jackson,Mississippi
George Wilson,7,410,2216,2144,307,,,0.372,,0.677,"May 9, 1942",Meridian,Mississippi
Blake Ahearn,3,19,88,22,22,7,0,0.273,0.298,0.97,"May 27, 1984",St. Louis,Missouri
Matthew Aitch,1,45,252,160,18,,,0.405,0,0.675,"Sep 21, 1944",St. Louis,Missouri
Kim Anderson,1,21,63,45,15,4,5,0.312,,0.536,"May 12, 1955",Sedalia,Missouri
Bradley Beal,5,272,4516,981,824,275,83,0.429,0.397,0.785,"Jun 28, 1993",St. Louis,Missouri
Gary Bergen,1,6,8,8,1,,,0.273,,1,"Jul 16, 1932",Independence,Missouri
Anthony Bonner,6,318,2199,1726,442,346,84,0.468,0.125,0.59,"Jun 8, 1968",St. Louis,Missouri
Bill Bradley*,10,742,9217,2354,2533,209,65,0.448,,0.84,"Jul 28, 1943",Crystal City,Missouri
Alec Burks,5,259,2751,757,504,166,41,0.432,0.365,0.751,"Jul 20, 1991",Grandview,Missouri
Chris Carr,6,297,1988,658,294,93,46,0.416,0.338,0.807,"Mar 12, 1974",Ironton,Missouri
Bob Ferry,10,634,5780,3343,906,,,0.433,,0.664,"May 31, 1937",St. Louis,Missouri
Hiram Fuller,1,4,8,11,2,0,1,0.375,,0.333,"May 15, 1981",East St. Louis,Missouri
Bill Garnett,4,300,1638,1298,393,159,173,0.49,0,0.72,"Apr 22, 1960",Kansas City,Missouri
Ben Hansbrough,1,28,57,18,21,7,2,0.333,0.261,0.778,"Dec 23, 1987",Poplar Bluff,Missouri
Tyler Hansbrough,7,428,2881,1808,181,207,91,0.439,0.136,0.738,"Nov 03, 1985",Poplar Bluff,Missouri
Josh Harrellson,3,75,265,227,26,30,36,0.438,0.347,0.629,"Feb 12, 1989",St. Charles,Missouri
Steve Harris,5,207,1440,365,238,116,29,0.434,0.05,0.842,"Oct 15, 1963",Kansas City,Missouri
Derek Hood,1,2,0,1,0,0,0,0,,,"Dec 22, 1976",Kansas City,Missouri
Larry Hughes,13,727,10242,3039,2290,1092,255,0.406,0.309,0.757,"Jan 23, 1979",St. Louis,Missouri
Robin Jones,2,75,370,310,82,38,39,0.47,,0.588,"Feb 2, 1954",St. Louis,Missouri
Jim Krebs,7,515,4128,3177,429,,,0.405,,0.755,"Sep 8, 1935",Webster Groves,Missouri
David Lee,12,778,10837,7023,1743,605,300,0.533,0.034,0.774,"Apr 29, 1983",St. Louis,Missouri
Leary Lentz,2,148,1179,919,120,,,0.405,0,0.66,"Feb 23, 1945",Clarkton,Missouri
Tyronn Lue,11,554,4710,943,1727,286,10,0.437,0.391,0.829,"May 03, 1977",Mexico,Missouri
Ed Macauley*,10,641,11234,4325,2079,,,0.436,,0.761,"Mar 22, 1928",St. Louis,Missouri
Cuonzo Martin,2,7,9,3,3,1,0,0.25,0.6,0,"Sep 23, 1971",St. Louis,Missouri
Patrick McCaw,1,24,71,27,26,10,7,0.386,0.359,0.5,"Oct 25, 1995",St. Louis,Missouri
Ben McLemore,4,255,2390,656,316,185,50,0.414,0.345,0.784,"Feb 11, 1993",St. Louis,Missouri
Jay Miller,4,117,649,205,47,,,0.415,0,0.717,"Jul 19, 1943",St. Louis,Missouri
Dave Minor,2,116,877,527,288,,,0.36,,0.754,"Feb 24, 1922",,Missouri
Gene Moore,7,465,5594,4360,648,30,207,0.467,0.303,0.679,"Jul 29, 1945",St. Louis,Missouri
Ivano Newbill,3,134,198,354,50,50,29,0.394,1,0.433,"Dec 12, 1970",Sedalia,Missouri
Rich Niemann,4,187,1230,1079,158,,,0.476,,0.735,"Jul 2, 1946",St. Louis,Missouri
Bevo Nordmann,4,133,571,517,73,,,0.459,,0.49,"Dec 11, 1939",St. Louis,Missouri
Barry Orms,2,141,882,505,181,,,0.37,0.192,0.539,"May 1, 1946",St. Louis,Missouri
Anthony Peeler,13,827,8017,2136,1956,775,138,0.427,0.384,0.799,"Nov 25, 1969",Kansas City,Missouri
Otto Porter,4,214,1768,864,235,205,79,0.471,0.361,0.75,"Jun 03, 1993",St. Louis,Missouri
Willie Reed,2,60,262,200,16,8,36,0.565,0,0.517,"May 16, 1990",Kansas City,Missouri
Marshall Rogers,1,26,100,11,10,8,3,0.371,,0.933,"Aug 27, 1953",St. Louis,Missouri
Kenny Rollins,3,168,817,45,344,,,0.309,,0.75,"Sep 14, 1923",Charlestown,Missouri
Brandon Rush,9,445,3070,1328,430,202,241,0.428,0.402,0.704,"Jul 07, 1985",Kansas City,Missouri
Kareem Rush,7,346,2213,572,353,150,74,0.4,0.358,0.703,"Oct 30, 1980",Kansas City,Missouri
Lester Selvage,2,82,1103,219,252,,,0.354,0.316,0.741,"Mar 7, 1943",St. Louis,Missouri
Scott Sims,1,12,30,13,20,3,0,0.385,,0.667,"Apr 18, 1955",Kirksville,Missouri
Norm Stewart,1,5,10,5,2,,,0.267,,0.333,"Jan 20, 1935",Leonard,Missouri
Steve Stipanovich,5,403,5323,3131,938,415,380,0.484,0.179,0.796,"Nov 17, 1960",St. Louis,Missouri
David Thirdkill,5,179,510,209,84,47,13,0.457,0.091,0.565,"Apr 12, 1960",St. Louis,Missouri
Malcolm Thomas,4,40,76,96,14,6,7,0.435,0.091,0.6,"Nov 08, 1988",Columbia,Missouri
Anthony Tolliver,9,472,2821,1652,406,172,145,0.409,0.355,0.774,"Jun 01, 1985",Springfield,Missouri
Dean Tolson,3,80,402,179,34,36,27,0.546,,0.545,"Nov 25, 1951",Kansas City,Missouri
Jahidi White,7,334,1954,1944,63,119,355,0.51,0,0.534,"Feb 19, 1976",St. Louis,Missouri
Jo Jo White*,12,837,14399,3345,4095,686,112,0.444,0.167,0.834,"Nov 16, 1946",St. Louis,Missouri
Lee Winfield,7,403,2959,828,1003,68,41,0.474,,0.668,"Feb 4, 1947",St. Louis,Missouri
Loren Woods,6,215,555,682,74,55,128,0.419,0.143,0.642,"Jun 21, 1978",St. Louis,Missouri
Jack Cotton,1,54,276,,65,,,0.292,,0.509,"Oct 25, 1924",Miles City,Montana
Jim Creighton,1,32,31,45,4,2,9,0.279,,0.438,"Apr 18, 1950",Billings,Montana
Brad Holland,3,93,293,59,63,47,3,0.403,0.19,0.746,"Dec 6, 1956",Billings,Montana
Phil Jackson*,12,807,5428,3454,898,281,199,0.453,0,0.736,"Sep 17, 1945",Deer Lodge,Montana
Coby Karl,2,24,58,32,24,7,3,0.345,0.25,0.75,"Mar 06, 1983",Great Falls,Montana
Larry Krystkowiak,9,420,3425,2051,513,264,62,0.457,0.139,0.795,"Sep 23, 1964",Missoula,Montana
Ray Kuka,2,52,253,,38,,,0.32,,0.591,"Feb 17, 1922",Havre,Montana
Mike Lewis,6,337,4081,4022,1000,0,0,0.498,0,0.735,"Mar 18, 1946",Missoula,Montana
Adam Morrison,3,161,1200,342,222,40,12,0.373,0.331,0.71,"Jul 19, 1984",Glendive,Montana
Keith Tower,4,53,98,69,7,6,12,0.429,0,0.556,"May 15, 1970",Libby,Montana
Bob Boozer,11,874,12964,7119,1237,,,0.462,,0.761,"Apr 26, 1937",Omaha,Nebraska
Chuck Gardner,1,42,197,136,13,,,0.406,0,0.696,"Sep 30, 1944",Lincoln,Nebraska
Mike Higgins,2,18,30,9,5,2,4,0.5,,0.706,"Feb 17, 1967",Grand Island,Nebraska
Fred Hoiberg,10,541,2944,1438,846,428,59,0.431,0.396,0.854,"Oct 15, 1972",Lincoln,Nebraska
Dave Hoppen,6,169,837,647,100,43,29,0.518,0.2,0.751,"Mar 13, 1964",Omaha,Nebraska
Rich King,4,72,135,74,21,5,7,0.393,0,0.662,"Apr 4, 1969",Lincoln,Nebraska
Bart Kofoed,5,111,162,56,108,19,4,0.387,0.188,0.614,"Mar 24, 1964",Omaha,Nebraska
Tom Kropp,2,78,193,62,47,20,1,0.44,,0.702,"Feb 12, 1953",Grand Island,Nebraska
Mark Pope,6,153,285,261,63,32,45,0.401,0.179,0.573,"Sep 11, 1972",Omaha,Nebraska
Alex Stivrins,2,22,44,22,4,2,2,0.465,0,0.5,"Nov 29, 1962",Lincoln,Nebraska
Rex Walters,7,335,1547,403,569,129,30,0.441,0.361,0.809,"Mar 12, 1970",Omaha,Nebraska
Greg Anthony,11,757,5497,1417,2997,887,79,0.403,0.349,0.733,"Nov 15, 1967",Las Vegas,Nevada
Marcus Banks,8,348,2061,519,728,266,57,0.432,0.327,0.768,"Nov 19, 1981",Las Vegas,Nevada
Ricky Davis,12,736,9912,2550,2426,732,187,0.446,0.361,0.781,"Sep 23, 1979",Las Vegas,Nevada
Pat Garrity,10,552,4017,1457,443,246,104,0.417,0.398,0.806,"Aug 23, 1976",Las Vegas,Nevada
Darington Hobson,1,5,4,3,6,0,0,0.154,0,,"Sep 29, 1987",Las Vegas,Nevada
Willie Smith,4,78,357,134,277,85,2,0.4,0.239,0.754,"Oct 26, 1953",Las Vegas,Nevada
C.J. Watson,10,558,4108,1088,1391,526,65,0.42,0.38,0.808,"Apr 17, 1984",Las Vegas,Nevada
Matt Bonner,12,792,4632,2371,552,285,213,0.464,0.414,0.78,"Apr 05, 1980",Concord,New Hampshire
Rafael Addison,6,379,2186,780,339,148,83,0.449,0.282,0.772,"Jul 22, 1964",Jersey City,New Jersey
Malik Allen,10,478,2334,1353,228,130,220,0.439,0.188,0.778,"Jun 27, 1978",Willingboro,New Jersey
Al Attles,11,711,6328,2463,2483,,,0.451,,0.632,"Nov 7, 1936",Newark,New Jersey
Wade Baldwin,1,20,77,31,43,13,6,0.321,0.118,0.821,"Mar 29, 1996",Belle Mead,New Jersey
Rick Barry*,14,1020,25279,6863,4952,1104,269,0.456,0.297,0.893,"Mar 28, 1944",Elizabeth,New Jersey
Spider Bennett,1,59,440,147,84,,,0.382,0.24,0.648,"Aug 4, 1943",Lakewood,New Jersey
Mike Bibby,14,1001,14698,3103,5517,1172,149,0.436,0.379,0.802,"May 13, 1978",Cherry Hill,New Jersey
Alex Blackwell,1,27,34,23,7,4,2,0.333,0,0.75,"Jun 27, 1970",Toms River,New Jersey
George Blaney,1,36,117,36,45,,,0.38,,0.529,"Nov 12, 1939",Jersey City,New Jersey
Jake Bornheimer,2,75,342,,53,,,0.295,,0.671,"Jun 29, 1927",New Brunswick,New Jersey
Ira Bowman,3,17,15,5,9,3,0,0.636,0,0.5,"Jun 11, 1973",Newark,New Jersey
Marques Bragg,1,53,131,79,8,17,8,0.45,,0.561,"Mar 24, 1970",East Orange,New Jersey
Gary Brokaw,4,241,1928,407,715,107,76,0.446,,0.713,"Jan 11, 1954",New Brunswick,New Jersey
MarShon Brooks,3,164,1261,358,232,100,35,0.442,0.326,0.748,"Jan 26, 1989",Long Branch,New Jersey
Mike Brown,11,626,3130,2762,424,253,169,0.455,0.125,0.69,"Jul 19, 1963",Newark,New Jersey
Mark Bryant,15,797,4313,2992,491,330,195,0.5,0.083,0.697,"Apr 25, 1965",Glen Ridge,New Jersey
Dave Budd,5,353,2505,1623,337,,,0.46,,0.682,"Oct 28, 1938",Woodbury,New Jersey
Andrew Bynum,8,418,4822,3221,490,133,657,0.556,0.111,0.69,"Oct 27, 1987",Plainsboro,New Jersey
Tommy Byrnes,5,264,1708,71,311,,,0.299,,0.648,"Feb 19, 1923",Teaneck,New Jersey
Gerry Calabrese,2,104,492,149,148,,,0.348,,0.702,"Feb 4, 1925",Hoboken,New Jersey
Tony Campbell,11,690,7994,2117,1019,582,157,0.456,0.254,0.79,"May 7, 1962",Teaneck,New Jersey
Derrick Caracter,1,41,81,43,7,4,10,0.485,,0.739,"May 04, 1988",Fanwood,New Jersey
Rakeem Christmas,2,4,7,4,1,0,1,0.5,,1,"Dec 01, 1991",Irvington,New Jersey
Earl Clark,6,261,1138,778,134,83,136,0.403,0.328,0.664,"Jan 17, 1988",Plainfield,New Jersey
Chris Copeland,4,171,998,272,107,32,30,0.427,0.365,0.752,"Mar 17, 1984",Orange,New Jersey
Hollis Copeland,2,93,464,161,89,65,27,0.488,0,0.739,"Dec 20, 1955",Trenton,New Jersey
Joe Crispin,1,21,79,11,26,5,0,0.382,0.385,0.923,"Jul 18, 1979",Pitman,New Jersey
John Crotty,11,477,1903,502,999,181,20,0.431,0.384,0.837,"Jul 15, 1969",Orange,New Jersey
Brian Davis,1,68,131,55,22,16,4,0.317,0.333,0.735,"Jun 21, 1970",Atlantic City,New Jersey
Warren Davis,6,447,5449,4097,944,,,0.48,0.125,0.691,"Jun 30, 1943",Atlantic City,New Jersey
Harry Donovan,1,45,253,,38,,,0.327,,0.689,"Sep 10, 1926",Union City,New Jersey
Kenneth Faried,6,376,4539,3248,400,303,343,0.544,0.118,0.65,"Nov 19, 1989",Newark,New Jersey
Hank Finkel,9,551,2790,2151,426,10,10,0.449,,0.662,"Apr 20, 1942",Union City,New Jersey
Chris Ford,10,794,7314,2394,2719,1152,192,0.46,0.375,0.731,"Jan 11, 1949",Atlantic City,New Jersey
Jimmy Foster,2,89,331,117,190,58,9,0.373,0.071,0.673,"Dec 16, 1951",Jersey City,New Jersey
Randy Foye,11,700,7459,1572,2011,500,214,0.402,0.368,0.851,"Sep 24, 1983",Newark,New Jersey
Gary Garland,1,78,334,138,145,54,4,0.435,0.316,0.692,"Oct 12, 1957",East Orange,New Jersey
Chris Gatling,11,700,7232,3741,461,464,375,0.513,0.249,0.66,"Sep 3, 1967",Elizabeth,New Jersey
Reggie Geary,2,101,209,82,110,50,14,0.344,0.328,0.493,"Aug 31, 1973",Trenton,New Jersey
Tate George,4,177,736,180,325,76,11,0.414,0.071,0.82,"May 29, 1968",Newark,New Jersey
Gerald Govan,9,681,5251,7119,2164,139,97,0.405,0.208,0.678,"Jan 2, 1942",Jersey City,New Jersey
Greg Grant,6,274,767,248,751,161,8,0.383,0.281,0.71,"Aug 29, 1966",Trenton,New Jersey
Mike Grosso,1,25,103,123,11,,,0.441,,0.565,"Sep 7, 1947",Raritan,New Jersey
Al Harrington,16,981,13237,5482,1649,858,246,0.444,0.352,0.727,"Feb 17, 1980",Orange,New Jersey
Tom Heinsohn*,9,654,12194,5749,1318,,,0.405,,0.79,"Aug 26, 1934",Union City,New Jersey
Gerald Henderson,8,490,5580,1603,940,338,173,0.443,0.327,0.792,"Dec 09, 1987",Caldwell,New Jersey
Cleo Hill,1,58,320,178,114,,,0.346,,0.774,"May 24, 1938",Newark,New Jersey
Roy Hinson,8,507,7206,3452,495,306,882,0.499,0,0.741,"May 2, 1961",Trenton,New Jersey
Dennis Horner,1,8,5,5,0,0,0,0.25,0,0.75,"Feb 05, 1988",Linwood,New Jersey
Bobby Hurley,5,269,1032,283,880,120,7,0.353,0.272,0.769,"Jun 28, 1971",Jersey City,New Jersey
Horace Jenkins,1,15,42,9,9,5,1,0.333,0,0.923,"Oct 14, 1974",Elizabeth,New Jersey
Dahntay Jones,12,623,3344,1080,528,261,144,0.439,0.331,0.751,"Dec 27, 1980",Trenton,New Jersey
Mike Kearns,1,6,1,3,5,,,0,,0.25,"Jun 18, 1929",Trenton,New Jersey
Gary Keller,2,122,735,550,47,,,0.388,0,0.632,"Jun 13, 1944",Elizabeth,New Jersey
Chad Kinch,1,41,118,33,45,11,6,0.369,,0.778,"May 22, 1958",Perth Amboy,New Jersey
Brandin Knight,1,1,0,0,1,0,0,0,,,"Dec 16, 1981",Livingston,New Jersey
Brevin Knight,12,729,5342,1785,4481,1229,87,0.412,0.134,0.789,"Nov 08, 1975",Livingston,New Jersey
Mo Layton,5,267,1845,357,706,51,12,0.448,,0.749,"Dec 24, 1948",Newark,New Jersey
George Lehmann,7,376,4458,619,1677,13,4,0.418,0.365,0.841,"May 1, 1942",Riverside,New Jersey
Bob McCann,5,178,739,468,104,80,79,0.479,0.2,0.577,"Apr 22, 1964",Morristown,New Jersey
Forrest McKenzie,1,6,17,7,1,1,0,0.25,0.5,1,"Feb 16, 1963",Camden,New Jersey
Roshown McLeod,3,113,817,308,124,41,14,0.409,0.111,0.819,"Nov 17, 1975",Jersey City,New Jersey
Gary Melchionni,2,137,1074,329,298,89,21,0.444,,0.831,"Jan 19, 1951",Camden,New Jersey
Glenn Mosley,2,32,98,69,21,8,10,0.409,,0.578,"Dec 26, 1955",Newark,New Jersey
Xavier Munford,1,14,80,31,22,13,3,0.416,0.391,0.5,"Jun 01, 1992",Hillside,New Jersey
Eric Murdock,9,508,5118,1261,2467,830,69,0.438,0.343,0.786,"Jun 14, 1968",Somerville,New Jersey
Troy Murphy,12,729,7860,5708,1088,478,294,0.445,0.388,0.785,"May 02, 1980",Morristown,New Jersey
Cotton Nash,2,84,470,273,65,,,0.34,0,0.766,"Jul 24, 1942",Jersey City,New Jersey
Tommy O'Keefe,1,6,23,7,10,,,0.357,,0.75,"Jun 3, 1928",Jersey City,New Jersey
Mike O'Koren,8,407,3355,1391,856,311,89,0.49,0.271,0.651,"Feb 7, 1958",Jersey City,New Jersey
Shaquille O'Neal*,19,1207,28596,13099,3026,739,2732,0.582,0.045,0.527,"Mar 06, 1972",Newark,New Jersey
Joe Pace,2,79,255,168,27,14,38,0.467,,0.598,"Dec 18, 1953",New Brunswick,New Jersey
Togo Palazzi,6,324,2382,1113,233,,,0.386,,0.73,"Aug 8, 1932",Union City,New Jersey
Billy Paultz,15,1124,13099,8959,2206,455,1457,0.497,0,0.69,"Jul 30, 1948",River Edge,New Jersey
Aulcie Perry,1,21,181,105,20,12,16,0.435,0,0.633,"Jul 3, 1950",Newark,New Jersey
Tim Perry,8,481,3283,1911,436,221,414,0.485,0.318,0.648,"Jun 4, 1965",Freehold,New Jersey
Kasib Powell,1,11,84,44,18,9,2,0.368,0.242,0.667,"Mar 18, 1981",Teaneck,New Jersey
A.J. Price,6,261,1523,377,567,125,9,0.38,0.316,0.742,"Oct 07, 1986",Orange,New Jersey
Richie Regan,3,215,1785,554,629,,,0.344,,0.717,"Nov 30, 1930",Newark,New Jersey
Rodrick Rhodes,3,72,380,88,121,69,12,0.347,0.2,0.62,"Sep 24, 1973",Jersey City,New Jersey
Malachi Richardson,1,4,10,3,2,1,0,0.333,0.333,1,"Jan 05, 1996",Trenton,New Jersey
David Rivers,3,114,383,147,282,61,10,0.398,0.083,0.794,"Jan 20, 1965",Jersey City,New Jersey
Dennis Rodman*,14,911,6683,11954,1600,611,531,0.521,0.231,0.584,"May 13, 1961",Trenton,New Jersey
Lou Roe,2,66,130,92,21,13,9,0.333,0.25,0.647,"Jul 14, 1972",Atlantic City,New Jersey
Brian Rowsom,3,82,457,273,47,29,23,0.455,0.667,0.818,"Oct 23, 1965",Newark,New Jersey
James Scott,1,8,1,6,3,2,0,0,0,0.5,"Jun 06, 1972",Paterson,New Jersey
Connie Simmons,10,598,5859,2294,940,,,0.351,,0.678,"Mar 15, 1925",Newark,New Jersey
Chris Smith,1,2,0,0,0,0,0,,,,"Oct 13, 1987",Millstone Township,New Jersey
J.R. Smith,13,860,11225,2747,1876,880,188,0.421,0.375,0.734,"Sep 09, 1985",Freehold,New Jersey
Jim Spanarkel,5,259,2505,652,572,248,38,0.47,0.25,0.855,"Jun 28, 1957",Jersey City,New Jersey
Brian Taylor,10,601,7868,1608,2478,1106,152,0.493,0.356,0.78,"Jun 9, 1951",Perth Amboy,New Jersey
Tyshawn Taylor,2,61,174,33,57,25,1,0.354,0.36,0.684,"Apr 12, 1990",Hoboken,New Jersey
Tim Thomas,13,824,9454,3379,1272,609,300,0.437,0.369,0.758,"Feb 26, 1977",Paterson,New Jersey
Billy Thompson,6,300,2566,1615,514,158,272,0.505,0.154,0.674,"Dec 1, 1963",Camden,New Jersey
Jason Thompson,8,588,5210,3880,635,283,414,0.496,0.143,0.657,"Jul 21, 1986",Camden,New Jersey
Karl-Anthony Towns,2,110,2123,1175,230,76,178,0.523,0.335,0.802,"Nov 15, 1995",Edison,New Jersey
Kelly Tripucka,10,707,12142,2703,2090,678,137,0.473,0.361,0.849,"Feb 16, 1959",Glen Ridge,New Jersey
Butch Van Breda Kolff,4,175,826,,256,,,0.305,,0.669,"Oct 28, 1922",Glen Ridge,New Jersey
Bob Verga,6,342,6918,1336,1004,12,0,0.438,0.296,0.749,"Sep 7, 1945",Neptune,New Jersey
Dajuan Wagner,4,103,964,142,195,69,14,0.366,0.321,0.77,"Feb 04, 1983",Camden,New Jersey
Milt Wagner,2,53,215,35,76,8,7,0.422,0.296,0.875,"Feb 20, 1963",Camden,New Jersey
Darryl Watkins,2,14,35,39,3,7,6,0.414,,0.478,"Nov 08, 1984",Paterson,New Jersey
Elnardo Webster,1,24,122,44,16,,,0.459,0.25,0.724,"Mar 6, 1948",Jersey City,New Jersey
David West,14,922,13337,6227,2036,691,743,0.492,0.262,0.818,"Aug 29, 1980",Teaneck,New Jersey
Clinton Wheeler,2,87,254,71,157,63,2,0.489,0,0.741,"Oct 27, 1959",Neptune,New Jersey
Eric Williams,12,658,5642,2139,936,548,103,0.415,0.318,0.736,"Jul 17, 1972",Newark,New Jersey
Jay Williams,1,75,714,195,350,86,17,0.399,0.322,0.64,"Sep 10, 1981",Plainfield,New Jersey
Bill Willoughby,8,488,2930,1891,413,209,292,0.47,0.27,0.75,"May 20, 1957",Englewood,New Jersey
Garry Witts,1,46,132,62,38,17,4,0.583,0.5,0.825,"Jul 3, 1959",Elizabeth,New Jersey
Lonnie Wright,5,335,3590,913,641,,,0.407,0.255,0.721,"Jan 23, 1944",Newark,New Jersey
Luther Wright,1,15,19,10,0,1,2,0.348,0,0.75,"Sep 22, 1971",Jersey City,New Jersey
Bill Bridges,13,926,11012,11054,2553,69,36,0.442,,0.693,"Apr 4, 1939",Hobbs,New Mexico
Cedric Jackson,1,12,20,8,14,3,2,0.3,0.167,0.583,"Mar 05, 1986",Alamogordo,New Mexico
Damion James,4,39,150,131,26,23,20,0.415,0,0.667,"Oct 07, 1987",Hobbs,New Mexico
Alex Kirk,1,5,4,1,1,0,0,0.25,,1,"Nov 14, 1991",Los Alamos,New Mexico
Matt Othick,1,4,8,2,7,1,0,0.6,0.5,0,"Mar 16, 1969",Clovis,New Mexico
Andre Roberson,4,206,850,734,162,163,110,0.473,0.282,0.5,"Dec 04, 1991",Las Cruces,New Mexico
Rudy White,5,124,384,120,112,52,7,0.408,0,0.742,"Jun 23, 1953",Silver City,New Mexico
Zaid Abdul-Aziz,10,505,4557,4065,601,131.0,205.0,0.428,,0.728,"Apr 7, 1946",Brooklyn,New York
Kareem Abdul-Jabbar*,20,1560,38387,17440,5660,1160.0,3189.0,0.559,0.056,0.721,"Apr 16, 1947",New York,New York
Don Ackerman,1,28,43,15,23,,,0.222,,0.536,"Sep 4, 1930",New York,New York
Derrick Alston,3,139,751,525,94,95.0,87.0,0.489,0.143,0.487,"Aug 20, 1972",Bronx,New York
Rafer Alston,11,671,6799,1891,3202,813.0,105.0,0.383,0.354,0.729,"Jul 24, 1976",New York,New York
Andrew Anderson,3,194,2081,527,327,,,0.41,0.159,0.755,"Jul 6, 1945",Buffalo,New York
Kenny Anderson,14,858,10789,2641,5196,1258.0,111.0,0.421,0.346,0.79,"Oct 09, 1970",Queens,New York
Kyle Anderson,3,135,484,379,171,89.0,43.0,0.438,0.339,0.748,"Sep 20, 1993",New York,New York
Carmelo Anthony,14,929,23112,6152,2922,997.0,447.0,0.453,0.345,0.813,"May 29, 1984",New York,New York
Tiny Archibald*,13,876,16481,2046,6476,719.0,81.0,0.467,0.224,0.81,"Sep 2, 1948",New York,New York
